[0928/044144.693:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0928/065155.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065200.863:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065205.874:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065210.877:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065215.882:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065220.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065225.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065230.928:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065235.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065240.945:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065245.959:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065250.973:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065255.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065301.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065306.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065311.035:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065316.042:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065321.050:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065326.064:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065331.076:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065336.092:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065341.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065346.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065351.132:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065356.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065401.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065406.173:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065411.187:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065416.205:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065422.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065427.506:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0928/065432.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
